Invoice ID,Branch,City,Customer type,Gender,Product line,Quantity,Sales,Date,Time,Payment,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,7,548.9715,01-05-19,13:08,Ewallet,26.1415,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,5,80.22,03-08-19,10:29,Cash,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,7,340.5255,03-03-19,13:23,Credit card,16.2155,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,8,489.048,1/27/2019,20:33,Ewallet,23.288,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,7,634.3785,02-08-19,10:37,Ewallet,30.2085,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,7,627.6165,3/25/2019,18:30,Ewallet,29.8865,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,6,433.692,2/25/2019,14:36,Ewallet,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,10,772.38,2/24/2019,11:38,Ewallet,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,2,76.146,01-10-19,17:15,Credit card,3.626,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,3,172.746,2/20/2019,13:27,Credit card,8.226,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,4,60.816,02-06-19,18:07,Ewallet,2.896,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,4,107.142,03-09-19,17:03,Cash,5.102,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,5,246.4875,02-12-19,10:25,Ewallet,11.7375,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,10,453.495,02-07-19,16:48,Ewallet,21.595,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,10,749.49,3/29/2019,19:21,Cash,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,6,590.436,1/15/2019,16:19,Cash,28.116,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,7,506.6355,03-11-19,11:03,Credit card,24.1255,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,6,457.443,01-01-19,10:39,Credit card,21.783,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,3,172.2105,1/21/2019,18:00,Credit card,8.2005,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,2,84.63,03-11-19,15:30,Ewallet,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,5,451.71,2/25/2019,11:24,Ewallet,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,3,277.137,03-05-19,10:40,Ewallet,13.197,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,2,69.72,3/15/2019,12:20,Credit card,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,5,181.44,2/17/2019,11:15,Ewallet,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,3,279.1845,03-02-19,17:36,Ewallet,13.2945,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,8,441.756,3/22/2019,19:20,Credit card,21.036,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,1,35.196,02-08-19,15:31,Cash,1.676,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,2,184.107,03-10-19,12:17,Credit card,8.767,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,5,463.89,1/25/2019,19:48,Cash,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,9,235.2105,3/15/2019,15:36,Cash,11.2005,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,5,494.1825,2/25/2019,19:39,Credit card,23.5325,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,9,737.7615,1/28/2019,12:43,Cash,35.1315,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,8,703.752,01-10-19,14:49,Cash,33.512,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,2,202.818,3/15/2019,10:12,Credit card,9.658,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,4,417.564,02-06-19,10:42,Ewallet,19.884,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,1,71.526,01-07-19,12:28,Ewallet,3.406,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,5,328.755,03-10-19,19:15,Ewallet,15.655,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,9,575.316,1/15/2019,17:17,Ewallet,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,8,461.328,3/23/2019,13:24,Ewallet,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,8,253.008,03-03-19,13:01,Cash,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,1,91.056,1/17/2019,18:45,Ewallet,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,2,117.831,02-02-19,10:11,Cash,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,6,435.456,02-08-19,13:03,Cash,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,8,829.08,03-04-19,20:39,Cash,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,2,32.277,3/16/2019,19:47,Cash,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,4,394.632,03-09-19,18:00,Cash,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,9,535.7205,2/27/2019,17:24,Credit card,25.5105,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,9,189.0945,02-06-19,15:47,Ewallet,9.0045,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,6,119.259,02-10-19,12:45,Credit card,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,10,867.615,3/19/2019,17:08,Ewallet,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,7,671.79,02-03-19,10:19,Cash,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,5,234.0975,02-10-19,15:10,Cash,11.1475,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,4,75.054,3/22/2019,14:42,Ewallet,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,1,16.2015,1/25/2019,15:46,Credit card,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,2,33.936,03-07-19,11:49,Ewallet,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,8,722.232,2/28/2019,19:01,Cash,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,2,93.114,3/27/2019,11:26,Cash,4.434,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,8,752.64,02-07-19,11:28,Ewallet,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,10,759.675,1/20/2019,15:55,Cash,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,6,192.843,03-12-19,20:36,Cash,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,3,77.931,2/15/2019,17:47,Credit card,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,6,351.099,2/24/2019,10:55,Ewallet,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel,9,520.4115,02-03-19,13:40,Ewallet,24.7815,10
199-75-8169,A,Yangon,Member,Male,Sports and travel,10,166.005,03-06-19,12:27,Credit card,7.905,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,4,318.108,2/14/2019,14:35,Cash,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,10,166.635,3/13/2019,16:40,Cash,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,2,70.287,02-10-19,15:43,Ewallet,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,6,614.943,01-07-19,15:01,Ewallet,29.283,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,10,827.085,1/24/2019,10:04,Cash,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,1,19.2465,02-02-19,18:50,Cash,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,10,939.54,01-06-19,12:46,Credit card,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,10,652.26,02-11-19,16:19,Cash,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,3,152.838,03-05-19,18:17,Ewallet,7.278,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,6,478.233,03-09-19,18:21,Cash,22.773,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,9,705.6315,1/22/2019,10:55,Ewallet,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,10,437.325,1/13/2019,17:04,Credit card,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,9,463.428,01-09-19,14:20,Credit card,22.068,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,9,189.0945,01-12-19,15:48,Credit card,9.0045,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,10,822.255,03-05-19,16:24,Ewallet,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,5,106.995,1/22/2019,18:56,Cash,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,6,624.897,1/21/2019,14:42,Credit card,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,3,304.542,1/26/2019,19:56,Ewallet,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,8,161.7,1/23/2019,18:37,Ewallet,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,4,337.512,2/23/2019,18:45,Credit card,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,5,256.7775,03-09-19,10:17,Cash,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,7,610.491,03-05-19,14:31,Ewallet,29.071,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,5,401.73,3/25/2019,10:23,Cash,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,7,362.943,3/27/2019,20:35,Credit card,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,1,44.5935,01-02-19,16:57,Cash,2.1235,5.7
